n,µ(G),min p_n(G),max p_n(G),graph6_min,graph6_max
8,0,36.0,36.0,G??F{?,G??FwC
8,1,49.0,64.0,G?AFy?,GCP_t?
8,2,66.0,104.0,G?`Fx?,G_MaS_
8,3,87.0,169.0,GCOf[_,GCXtE?
8,4,127.0,281.0,G@`FyC,GCOzdO
8,5,207.0,427.0,G?Bz{G,GCpvB_
8,6,279.0,667.0,G?B~wK,GSrB`w
8,7,426.0,986.0,G@B~wK,GEzd?{
8,8,741.0,1433.0,GyxNQ_,Gim]`K
8,9,1120.0,2086.0,GavyxG,GoT~do
8,10,1636.0,2965.0,GTm~y?,GFfnVO
8,11,2210.0,4022.0,GVmV{c,GyQ|tw
8,12,3039.0,5436.0,Gsb~{[,Gy]tu[
8,13,4571.0,7420.0,GzZzjg,Gjm}nS
8,14,6658.0,9677.0,G~n~{?,Grfz^s
8,15,8811.0,12548.0,G~~~{?,Gj~^lw
8,16,12399.0,16475.0,G~~~}?,Gz~vk{
8,17,17618.0,21680.0,G~~~~?,G~zZ|{
8,18,24468.0,27099.0,G~~~~_,G~z^|{
8,19,32949.0,34058.0,G~~~~o,G~z^~{
8,20,43061.0,43061.0,G~~~~w,G~z~~{
8,21,54804.0,54804.0,G~~~~{,G~~~~{
9,0,45.0,45.0,H??F{@?,H??FwCA
9,1,60.0,81.0,H?AFy?_,HOOHe?S
9,2,79.0,133.0,H?`Fx?O,H_coBCQ
9,3,102.0,221.0,HCOfK`G,HHOSYAP
9,4,129.0,372.0,H?_fyCQ,HG`HtBO
9,5,206.0,615.0,HOJwIGU,HAgsN@I
9,6,325.0,969.0,H?B~gKK,HGqAhyo
9,7,423.0,1434.0,H?B~wKE,HII\?vH
9,8,772.0,2135.0,HixiQ`P,HbiQ\DH
9,9,949.0,3178.0,HG~wWYK,HqXcxiH
9,10,1869.0,4757.0,HTM~y@@,HFBivQi
9,11,2149.0,6517.0,HteV{eA,HkpxpqF
9,12,3256.0,8806.0,Hs}F{MI,HXulalU
9,13,3894.0,12474.0,HzZzJHc,Hio}Luy
9,14,7900.0,16869.0,H~~zg_P,Hlv_|TV
9,15,10770.0,22337.0,H~~~{?@,H]ujldl
9,16,13602.0,29644.0,H~vV}FA,HtzZktt
9,17,19903.0,38800.0,H~~~xGc,HzpL~y{
9,18,25449.0,50363.0,HF~~w{],Hzrlp}^
9,19,38952.0,66761.0,H~~|fyo,Hluznvm
9,20,53500.0,83765.0,H~~^~{A,Hv^^tzf
9,21,68505.0,106281.0,H~~~~}?,H~t|^vV
9,22,93948.0,134712.0,H~~~~~?,Hn|~~in
9,23,131134.0,171019.0,H~~~~~_,Hz~^~i~
9,24,180063.0,213573.0,H~~~~~o,Hz~^~y~
9,25,240735.0,261546.0,H~~~~~w,H~~^~y~
9,26,313150.0,321631.0,H~~~~~{,H~~^~z~
9,27,397308.0,397308,H~~~~~},H~~~~z~
9,28,493209.0,493209.0,H~~~~~~,H~~~~~~
