n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max
3,0,6,6,Slike_min_1del/graf_min_n3_mu0.png,Slike_max_1del/graf_max_n3_mu0.png,BW,BW
3,1,9,9,Slike_min_1del/graf_min_n3_mu1.png,Slike_max_1del/graf_max_n3_mu1.png,Bw,Bw
4,0,10,10,Slike_min_1del/graf_min_n4_mu0.png,Slike_max_1del/graf_max_n4_mu0.png,CF,CU
4,1,15,16,Slike_min_1del/graf_min_n4_mu1.png,Slike_max_1del/graf_max_n4_mu1.png,CV,C]
4,2,23,23,Slike_min_1del/graf_min_n4_mu2.png,Slike_max_1del/graf_max_n4_mu2.png,C^,C^
4,3,34,34,Slike_min_1del/graf_min_n4_mu3.png,Slike_max_1del/graf_max_n4_mu3.png,C~,C~
5,0,15,15,Slike_min_1del/graf_min_n5_mu0.png,Slike_max_1del/graf_max_n5_mu0.png,D?{,DQo
5,1,22,25,Slike_min_1del/graf_min_n5_mu1.png,Slike_max_1del/graf_max_n5_mu1.png,DC{,DUW
5,2,33,38,Slike_min_1del/graf_min_n5_mu2.png,Slike_max_1del/graf_max_n5_mu2.png,DQ{,DFw
5,3,51,57,Slike_min_1del/graf_min_n5_mu3.png,Slike_max_1del/graf_max_n5_mu3.png,DF{,D]w
5,4,78,83,Slike_min_1del/graf_min_n5_mu4.png,Slike_max_1del/graf_max_n5_mu4.png,DV{,D]{
5,5,116,116,Slike_min_1del/graf_min_n5_mu5.png,Slike_max_1del/graf_max_n5_mu5.png,D^{,D^{
5,6,165,165,Slike_min_1del/graf_min_n5_mu6.png,Slike_max_1del/graf_max_n5_mu6.png,D~{,D~{
6,0,21,21,Slike_min_1del/graf_min_n6_mu0.png,Slike_max_1del/graf_max_n6_mu0.png,E?Bw,ECZ?
6,1,30,36,Slike_min_1del/graf_min_n6_mu1.png,Slike_max_1del/graf_max_n6_mu1.png,E?bw,EEh_
6,2,43,56,Slike_min_1del/graf_min_n6_mu2.png,Slike_max_1del/graf_max_n6_mu2.png,ECRw,ECxo
6,3,67,88,Slike_min_1del/graf_min_n6_mu3.png,Slike_max_1del/graf_max_n6_mu3.png,ECZw,EEz_
6,4,99,141,Slike_min_1del/graf_min_n6_mu4.png,Slike_max_1del/graf_max_n6_mu4.png,E?~w,EFz_
6,5,154,196,Slike_min_1del/graf_min_n6_mu5.png,Slike_max_1del/graf_max_n6_mu5.png,EC~w,EFzo
6,6,231,279,Slike_min_1del/graf_min_n6_mu6.png,Slike_max_1del/graf_max_n6_mu6.png,ETnw,E]yw
6,7,345,402,Slike_min_1del/graf_min_n6_mu7.png,Slike_max_1del/graf_max_n6_mu7.png,EF~w,E]~o
6,8,508,535,Slike_min_1del/graf_min_n6_mu8.png,Slike_max_1del/graf_max_n6_mu8.png,EV~w,E]~w
6,9,720,720,Slike_min_1del/graf_min_n6_mu9.png,Slike_max_1del/graf_max_n6_mu9.png,E^~w,E^~w
6,10,981,981,Slike_min_1del/graf_min_n6_mu10.png,Slike_max_1del/graf_max_n6_mu10.png,E~~w,E~~w
7,0,28,28,Slike_min_1del/graf_min_n7_mu0.png,Slike_max_1del/graf_max_n7_mu0.png,F??Fw,FCQb?
7,1,39,49,Slike_min_1del/graf_min_n7_mu1.png,Slike_max_1del/graf_max_n7_mu1.png,F?AFw,FCp`_
7,2,54,78,Slike_min_1del/graf_min_n7_mu2.png,Slike_max_1del/graf_max_n7_mu2.png,F?`Fw,FCR`o
7,3,73,125,Slike_min_1del/graf_min_n7_mu3.png,Slike_max_1del/graf_max_n7_mu3.png,FCOfw,FCpv?
7,4,123,204,Slike_min_1del/graf_min_n7_mu4.png,Slike_max_1del/graf_max_n7_mu4.png,F?`vw,FCxv?
7,5,173,306,Slike_min_1del/graf_min_n7_mu5.png,Slike_max_1del/graf_max_n7_mu5.png,F?B~w,FCxv_
7,6,268,445,Slike_min_1del/graf_min_n7_mu6.png,Slike_max_1del/graf_max_n7_mu6.png,F?b~w,F?~v_
7,7,418,650,Slike_min_1del/graf_min_n7_mu7.png,Slike_max_1del/graf_max_n7_mu7.png,F?r~w,FFzf_
7,8,623,939,Slike_min_1del/graf_min_n7_mu8.png,Slike_max_1del/graf_max_n7_mu8.png,F?z~w,FFzvO
7,9,883,1267,Slike_min_1del/graf_min_n7_mu9.png,Slike_max_1del/graf_max_n7_mu9.png,F?~~w,FFzvo
7,10,1308,1712,Slike_min_1del/graf_min_n7_mu10.png,Slike_max_1del/graf_max_n7_mu10.png,FTm~w,FU~vo
7,11,1895,2342,Slike_min_1del/graf_min_n7_mu11.png,Slike_max_1del/graf_max_n7_mu11.png,FTn~w,F]~vo
7,12,2743,3112,Slike_min_1del/graf_min_n7_mu12.png,Slike_max_1del/graf_max_n7_mu12.png,FF~~w,F]~vw
7,13,3852,4015,Slike_min_1del/graf_min_n7_mu13.png,Slike_max_1del/graf_max_n7_mu13.png,FV~~w,F]~~w
7,14,5222,5222,Slike_min_1del/graf_min_n7_mu14.png,Slike_max_1del/graf_max_n7_mu14.png,F^~~w,F^~~w
7,15,6853,6853,Slike_min_1del/graf_min_n7_mu15.png,Slike_max_1del/graf_max_n7_mu15.png,F~~~w,F~~~w
8,0,36,36,Slike_min_1del/graf_min_n8_mu0.png,Slike_max_1del/graf_max_n8_mu0.png,G???F{,G?`ad?
8,1,49,64,Slike_min_1del/graf_min_n8_mu1.png,Slike_max_1del/graf_max_n8_mu1.png,G??CF{,G?qa`_
8,2,66,104,Slike_min_1del/graf_min_n8_mu2.png,Slike_max_1del/graf_max_n8_mu2.png,G?AAF{,GCOf?w
8,3,87,170,Slike_min_1del/graf_min_n8_mu3.png,Slike_max_1del/graf_max_n8_mu3.png,G?`@F{,G?q`qg
8,4,127,281,Slike_min_1del/graf_min_n8_mu4.png,Slike_max_1del/graf_max_n8_mu4.png,G?`@f{,GCR`r_
8,5,186,460,Slike_min_1del/graf_min_n8_mu5.png,Slike_max_1del/graf_max_n8_mu5.png,GCOcf{,GCrb`o
8,6,279,667,Slike_min_1del/graf_min_n8_mu6.png,Slike_max_1del/graf_max_n8_mu6.png,G??F~{,G?o~f_
8,7,426,986,Slike_min_1del/graf_min_n8_mu7.png,Slike_max_1del/graf_max_n8_mu7.png,G?AF~{,G?zVf_
8,8,653,1478,Slike_min_1del/graf_min_n8_mu8.png,Slike_max_1del/graf_max_n8_mu8.png,G?`F~{,G?zvf_
8,9,1005,2232,Slike_min_1del/graf_min_n8_mu9.png,Slike_max_1del/graf_max_n8_mu9.png,G?Bf~{,G?~vf_
8,10,1437,2965,Slike_min_1del/graf_min_n8_mu10.png,Slike_max_1del/graf_max_n8_mu10.png,G?Bv~{,G?~vfo
8,11,1964,4022,Slike_min_1del/graf_min_n8_mu11.png,Slike_max_1del/graf_max_n8_mu11.png,G?B~~{,GC~vfo
8,12,3039,5436,Slike_min_1del/graf_min_n8_mu12.png,Slike_max_1del/graf_max_n8_mu12.png,G?b~~{,GFzfuw
8,13,4571,7468,Slike_min_1del/graf_min_n8_mu13.png,Slike_max_1del/graf_max_n8_mu13.png,G?r~~{,GFzvvW
8,14,6560,9677,Slike_min_1del/graf_min_n8_mu14.png,Slike_max_1del/graf_max_n8_mu14.png,G?z~~{,GFzf~w
8,15,8811,12558,Slike_min_1del/graf_min_n8_mu15.png,Slike_max_1del/graf_max_n8_mu15.png,GTm|~{,GFz~vw
8,16,12399,16475,Slike_min_1del/graf_min_n8_mu16.png,Slike_max_1del/graf_max_n8_mu16.png,GTm~~{,G]~vv[
8,17,17618,21680,Slike_min_1del/graf_min_n8_mu17.png,Slike_max_1del/graf_max_n8_mu17.png,GTn~~{,G]~v~w
8,18,24468,27099,Slike_min_1del/graf_min_n8_mu18.png,Slike_max_1del/graf_max_n8_mu18.png,GF~~~{,G]~v~{
8,19,32949,34058,Slike_min_1del/graf_min_n8_mu19.png,Slike_max_1del/graf_max_n8_mu19.png,GV~~~{,G]~~~{
8,20,43061,43061,Slike_min_1del/graf_min_n8_mu20.png,Slike_max_1del/graf_max_n8_mu20.png,G^~~~{,G^~~~{
8,21,54804,54804,Slike_min_1del/graf_min_n8_mu21.png,Slike_max_1del/graf_max_n8_mu21.png,G~~~~{,G~~~~{
