n,µ(G),min p_n(G),max p_n(G),graph6_min,graph6_max
9,0,45,45.0,HW?CoY?,HOo___S
9,1,60,80.0,HA?@Vg@,HU?IPG_
9,2,79,133.0,HGEkGP_,HQP@KOo
9,3,102,221.0,HFC[CDO,HGmAAGU
9,4,146,372.0,H`BGG[s,HLp?h?J
9,5,206,615.0,H@ACAR~,HdX_KSQ
9,6,325,969.0,H\G`B[`,HO^S`HB
9,7,473,1424.0,Hy\bB@_,HpIAqw[
9,8,634,2135.0,HsaDF}@,HMLITME
9,9,1071,3246.0,HODF^{B,HrdJScd
9,10,1416,4625.0,HuaCTB~,H]Eq]Oj
9,11,2149,6456.0,H?~nwSM,H\qkQlU
9,12,2948,8960.0,HzzfFB_,HpdjjQV
9,13,4905,12077.0,HVEodj~,Hljkipj
9,14,6055,16683.0,H~zfFBc,HUqzrMx
9,15,9291,22385.0,H?{Ny^~,HrZ{rMx
9,16,13602,29644.0,H|j|\Im,HAn~vfw
9,17,20063,38566.0,Hm~Y^|H,HfxnK}}
9,18,25449,50877.0,Hvf~{mU,HF~nVMv
9,19,38952,66753.0,Hu~^{V],Hryy~ny
9,20,53500,84466.0,H~~yFr|,H}l|zvN
9,21,75159,106281.0,HzZ~zlv,Hjmv~z}
9,22,93948,134712.0,H~~{F~|,H~d~^vn
9,23,138310,171019.0,H~N~xn~,Hn~t~^n
9,24,180063,213573.0,H~^vnn~,H}]~~z~
9,25,240735,261546.0,H~~zn~|,H~^~v~^
9,26,313150,321631.0,H|~|~~~,H~~n~n~
9,27,397308,397308.0,H~~~~~n,H~~v~~~
9,28,493209,493209,H~~~~~~,H~~~~~~
