n,µ(G),min p_n(G),max p_n(G),graph6_min,graph6_max
3,0,6,6.0,BW,BW
3,1,9,9.0,Bw,Bw
4,0,10,10.0,CF,CF
4,1,15,16.0,CV,C]
4,2,23,23.0,C^,C^
4,3,34,34.0,C~,C~
5,0,15,15.0,D?{,D?{
5,1,22,25.0,DC{,DUW
5,2,33,38.0,DQ{,DFw
5,3,51,57.0,DF{,D]w
5,4,78,83.0,DV{,D]{
5,5,116,116.0,D^{,D^{
5,6,165,165.0,D~{,D~{
6,0,21,21.0,E?Bw,E?Bw
6,1,30,36.0,E?bw,EEh_
6,2,43,56.0,ECRw,ECxo
6,3,67,88.0,ECZw,EEz_
6,4,99,141.0,E?~w,EFz_
6,5,154,196.0,EC~w,EFzo
6,6,231,279.0,ETnw,E]yw
6,7,345,402.0,EF~w,E]~o
6,8,508,535.0,EV~w,E]~w
6,9,720,720.0,E^~w,E^~w
6,10,981,981.0,E~~w,E~~w
7,0,28,28.0,F??Fw,F??Fw
7,1,39,49.0,F?AFw,FCp`_
7,2,54,78.0,F?`Fw,FCR`o
7,3,73,125.0,FCOfw,FCpv?
7,4,123,204.0,F?`vw,FCxv?
7,5,173,306.0,F?B~w,FCxv_
7,6,268,445.0,F?b~w,F?~v_
7,7,418,650.0,F?r~w,FFzf_
7,8,623,939.0,F?z~w,FFzvO
7,9,883,1267.0,F?~~w,FFzvo
7,10,1308,1712.0,FTm~w,FU~vo
7,11,1895,2342.0,FTn~w,F]~vo
7,12,2743,3112.0,FF~~w,F]~vw
7,13,3852,4015.0,FV~~w,F]~~w
7,14,5222,5222.0,F^~~w,F^~~w
7,15,6853,6853.0,F~~~w,F~~~w
8,0,36,36.0,G???F{,G???F{
8,1,49,64.0,G??CF{,G?qa`_
8,2,66,104.0,G?AAF{,GCOf?w
8,3,87,170.0,G?`@F{,G?q`qg
8,4,127,281.0,G?`@f{,GCR`r_
8,5,186,460.0,GCOcf{,GCrb`o
8,6,279,667.0,G??F~{,G?o~f_
8,7,426,986.0,G?AF~{,G?zVf_
8,8,653,1478.0,G?`F~{,G?zvf_
8,9,1005,2232.0,G?Bf~{,G?~vf_
8,10,1437,2965.0,G?Bv~{,G?~vfo
8,11,1964,4022.0,G?B~~{,GC~vfo
8,12,3039,5436.0,G?b~~{,GFzfuw
8,13,4571,7468.0,G?r~~{,GFzvvW
8,14,6560,9677.0,G?z~~{,GFzf~w
8,15,8811,12558.0,GTm|~{,GFz~vw
8,16,12399,16475.0,GTm~~{,G]~vv[
8,17,17618,21680.0,GTn~~{,G]~v~w
8,18,24468,27099.0,GF~~~{,G]~v~{
8,19,32949,34058.0,GV~~~{,G]~~~{
8,20,43061,43061.0,G^~~~{,G^~~~{
8,21,54804,54804.0,G~~~~{,G~~~~{
9,0,45,45.0,H???F}?,H???F{@
9,1,60,81.0,H??CF|?,H@d?HF?
9,2,79,133.0,H?AAF{_,HBgCHHA
9,3,102,221.0,H?`@F{O,HCo`Qi_
9,4,129,372.0,HO@?f{H,HE@`sXG
9,5,211,615.0,HCOcd|G,HDpa`QD
9,6,325,955.0,H??F^{P,H?pdf_[
9,7,473,1424.0,H?GF~kB,H?jVapo
9,8,712,2135.0,H?_F~{a,H?vrbaB
9,9,949,3178.0,H?@F~{J,H?zvaq`
9,10,1416,4509.0,HOBw^{T,HAzudOr
9,11,2149,6345.0,H?B^~{B,HOfubri
9,12,3256,8786.0,Hs_F~{F,HV|`c^E
9,13,3894,12204.0,H?B~~{F,HVqVJW}
9,14,6055,16631.0,H@~w^{L,HJyuuYr
9,15,10770,22433.0,HTm|~|?,HNfV^On
9,16,14748,29376.0,HDm~~{B,Hmzdq}{
9,17,19903,38800.0,HT}|~{H,H\vVp^t
9,18,28187,50877.0,Hsf~|}F,H]lzu^V
9,19,38952,67563.0,H~R~~lE,H]rx~vy
9,20,53500,84466.0,H^~~~{A,H|]m}|v
9,21,68505,106281.0,H~~~~}?,Hr|nny~
9,22,93948,134712.0,H~~~~~?,Hv|nny~
9,23,131134,171019.0,H~~~~~_,H~|nm}~
9,24,180063,213573.0,H~~~~~o,H~~nm}~
9,25,240735,261546.0,H~~~~~w,H~~nm~~
9,26,313150,321631.0,H~~~~~{,H~~nn~~
9,27,397308,397308.0,H~~~~~},H~~~n~~
9,28,493209,493209,H~~~~~~,H~~~~~~
