n,µ(G),min geodesic,max geodesic,slika_min,slika_max,graph6_min,graph6_max,PTC_min,KAKTUS_min,DVODELEN_min,MAX_DEG_min,C3_min,C4_min,C5_min,C6_min,PTC_max,KAKTUS_max,DVODELEN_max,MAX_DEG_max,C3_max,C4_max,C5_max,C6_max
3,1,6,6,slike_geodesic_min/graf_geodesic_min_mu1_n3.png,slike_geodesic_max/graf_geodesic_max_mu1_n3.png,Bw,Bw,true,true,false,2,1,0,0,0,true,true,false,2,1,0,0,0
4,1,10,12,slike_geodesic_min/graf_geodesic_min_mu1_n4.png,slike_geodesic_max/graf_geodesic_max_mu1_n4.png,CV,C],true,true,false,3,1,0,0,0,true,true,true,2,0,1,0,0
5,1,15,18,slike_geodesic_min/graf_geodesic_min_mu1_n5.png,slike_geodesic_max/graf_geodesic_max_mu1_n5.png,DC{,DEw,true,true,false,4,1,0,0,0,true,true,true,3,0,1,0,0
6,1,21,26,slike_geodesic_min/graf_geodesic_min_mu1_n6.png,slike_geodesic_max/graf_geodesic_max_mu1_n6.png,E?bw,E?zO,true,true,false,5,1,0,0,0,true,true,true,3,0,1,0,0
7,1,28,35,slike_geodesic_min/graf_geodesic_min_mu1_n7.png,slike_geodesic_max/graf_geodesic_max_mu1_n7.png,F?AFw,F?`v?,true,true,false,6,1,0,0,0,true,true,true,3,0,1,0,0
8,1,36,46,slike_geodesic_min/graf_geodesic_min_mu1_n8.png,slike_geodesic_max/graf_geodesic_max_mu1_n8.png,G??CF{,G?`Db_,true,true,false,7,1,0,0,0,true,true,true,3,0,1,0,0
9,1,45,58,slike_geodesic_min/graf_geodesic_min_mu1_n9.png,slike_geodesic_max/graf_geodesic_max_mu1_n9.png,H???CB~,H?ABAqW,true,true,false,8,1,0,0,0,true,true,true,3,0,1,0,0
4,2,11,11,slike_geodesic_min/graf_geodesic_min_mu2_n4.png,slike_geodesic_max/graf_geodesic_max_mu2_n4.png,C^,C^,true,false,false,3,2,0,0,0,true,false,false,3,2,0,0,0
5,2,15,20,slike_geodesic_min/graf_geodesic_min_mu2_n5.png,slike_geodesic_max/graf_geodesic_max_mu2_n5.png,DQ{,DFw,true,true,false,4,2,0,0,0,false,false,true,3,0,3,0,0
6,2,21,29,slike_geodesic_min/graf_geodesic_min_mu2_n6.png,slike_geodesic_max/graf_geodesic_max_mu2_n6.png,ECRw,EEj_,true,true,false,5,2,0,0,0,true,false,true,3,0,2,0,0
7,2,28,39,slike_geodesic_min/graf_geodesic_min_mu2_n7.png,slike_geodesic_max/graf_geodesic_max_mu2_n7.png,F?`Fw,FCpf?,true,true,false,6,2,0,0,0,true,false,true,3,0,2,0,0
8,2,36,53,slike_geodesic_min/graf_geodesic_min_mu2_n8.png,slike_geodesic_max/graf_geodesic_max_mu2_n8.png,G?AAF{,G?B@v_,true,true,false,7,2,0,0,0,true,true,true,4,0,2,0,0
9,2,45,71,slike_geodesic_min/graf_geodesic_min_mu2_n9.png,slike_geodesic_max/graf_geodesic_max_mu2_n9.png,H??CAB~,H??F?zW,true,true,false,8,2,0,0,0,true,true,true,4,0,2,0,0
4,3,10,10,slike_geodesic_min/graf_geodesic_min_mu3_n4.png,slike_geodesic_max/graf_geodesic_max_mu3_n4.png,C~,C~,true,false,false,3,4,0,0,0,true,false,false,3,4,0,0,0
5,3,15,19,slike_geodesic_min/graf_geodesic_min_mu3_n5.png,slike_geodesic_max/graf_geodesic_max_mu3_n5.png,DT{,D]w,true,false,false,4,4,0,0,0,false,false,false,3,2,2,0,0
6,3,21,32,slike_geodesic_min/graf_geodesic_min_mu3_n6.png,slike_geodesic_max/graf_geodesic_max_mu3_n6.png,ECfw,EEz_,true,false,false,5,4,0,0,0,false,false,true,3,0,5,0,0
7,3,28,44,slike_geodesic_min/graf_geodesic_min_mu3_n7.png,slike_geodesic_max/graf_geodesic_max_mu3_n7.png,F?aNw,FCZf?,true,false,false,6,4,0,0,0,false,false,true,3,0,5,0,0
8,3,36,60,slike_geodesic_min/graf_geodesic_min_mu3_n8.png,slike_geodesic_max/graf_geodesic_max_mu3_n8.png,G?ACN{,G?`vF?,true,false,false,7,4,0,0,0,false,false,true,3,0,5,0,0
9,3,45,77,slike_geodesic_min/graf_geodesic_min_mu3_n9.png,slike_geodesic_max/graf_geodesic_max_mu3_n9.png,H??CCF~,H?B@tao,true,false,false,8,4,0,0,0,false,false,true,3,0,5,0,0
5,4,17,19,slike_geodesic_min/graf_geodesic_min_mu4_n5.png,slike_geodesic_max/graf_geodesic_max_mu4_n5.png,DV{,D]{,true,false,false,4,5,0,0,0,true,false,false,4,4,1,0,0
6,4,21,33,slike_geodesic_min/graf_geodesic_min_mu4_n6.png,slike_geodesic_max/graf_geodesic_max_mu4_n6.png,EQjw,EFz_,true,false,false,5,5,0,0,0,false,false,true,3,0,9,0,0
7,4,28,47,slike_geodesic_min/graf_geodesic_min_mu4_n7.png,slike_geodesic_max/graf_geodesic_max_mu4_n7.png,FCQVw,F?zV_,true,false,false,6,5,0,0,0,false,false,true,4,0,7,0,0
8,4,36,62,slike_geodesic_min/graf_geodesic_min_mu4_n8.png,slike_geodesic_max/graf_geodesic_max_mu4_n8.png,G?`CV{,G?ovF_,true,false,false,7,5,0,0,0,false,false,true,4,0,6,0,0
9,4,45,83,slike_geodesic_min/graf_geodesic_min_mu4_n9.png,slike_geodesic_max/graf_geodesic_max_mu4_n9.png,H?AACJ~,H?B@pro,true,false,false,8,5,0,0,0,false,false,true,4,0,6,0,0
5,5,17,17,slike_geodesic_min/graf_geodesic_min_mu5_n5.png,slike_geodesic_max/graf_geodesic_max_mu5_n5.png,D^{,D^{,true,false,false,4,7,0,0,0,true,false,false,4,7,0,0,0
6,5,23,31,slike_geodesic_min/graf_geodesic_min_mu5_n6.png,slike_geodesic_max/graf_geodesic_max_mu5_n6.png,EEvw,EFzo,true,false,false,5,7,0,0,0,false,false,false,4,3,6,0,0
7,5,29,49,slike_geodesic_min/graf_geodesic_min_mu5_n7.png,slike_geodesic_max/graf_geodesic_max_mu5_n7.png,FCdfw,F?zv_,true,false,false,6,6,0,0,0,false,false,true,4,0,12,0,0
8,5,36,70,slike_geodesic_min/graf_geodesic_min_mu5_n8.png,slike_geodesic_max/graf_geodesic_max_mu5_n8.png,GCOcf{,G?ovf_,true,false,false,7,6,0,0,0,false,false,true,4,0,10,0,0
9,5,45,94,slike_geodesic_min/graf_geodesic_min_mu5_n9.png,slike_geodesic_max/graf_geodesic_max_mu5_n9.png,H?`@CR~,H?B@vbo,true,false,false,8,6,0,0,0,false,false,true,4,0,10,0,0
