n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max
4,2,23,23,slike_min/graf_min_mu2_n4.png,slike_max/graf_max_mu2_n4.png,C^,C^
5,2,33,38,slike_min/graf_min_mu2_n5.png,slike_max/graf_max_mu2_n5.png,DQ{,DFw
6,2,43,56,slike_min/graf_min_mu2_n6.png,slike_max/graf_max_mu2_n6.png,ECRw,ECxo
7,2,54,78,slike_min/graf_min_mu2_n7.png,slike_max/graf_max_mu2_n7.png,F?`Fw,FCR`o
8,2,66,104,slike_min/graf_min_mu2_n8.png,slike_max/graf_max_mu2_n8.png,G?AAF{,GCOf?w
9,2,79,133,slike_min/graf_min_mu2_n9.png,slike_max/graf_max_mu2_n9.png,H??CAB~,H?`@f?[
10,2,93,166,slike_min/graf_min_mu2_n10.png,slike_max/graf_max_mu2_n10.png,I???C@?~w,I?AB?rOJ?
4,3,34,34,slike_min/graf_min_mu3_n4.png,slike_max/graf_max_mu3_n4.png,C~,C~
5,3,51,57,slike_min/graf_min_mu3_n5.png,slike_max/graf_max_mu3_n5.png,DF{,D]w
6,3,67,88,slike_min/graf_min_mu3_n6.png,slike_max/graf_max_mu3_n6.png,ECZw,EEz_
7,3,73,125,slike_min/graf_min_mu3_n7.png,slike_max/graf_max_mu3_n7.png,FCOfw,FCpv?
8,3,87,170,slike_min/graf_min_mu3_n8.png,slike_max/graf_max_mu3_n8.png,G?`@F{,G?q`qg
9,3,102,221,slike_min/graf_min_mu3_n9.png,slike_max/graf_max_mu3_n9.png,H?AA@B~,H?BDbO[
10,3,118,280,slike_min/graf_min_mu3_n10.png,slike_max/graf_max_mu3_n10.png,I??CA?_~w,I??FCpSJ?
5,4,78,83,slike_min/graf_min_mu4_n5.png,slike_max/graf_max_mu4_n5.png,DV{,D]{
6,4,99,141,slike_min/graf_min_mu4_n6.png,slike_max/graf_max_mu4_n6.png,E?~w,EFz_
7,4,123,204,slike_min/graf_min_mu4_n7.png,slike_max/graf_max_mu4_n7.png,F?`vw,FCxv?
8,4,127,281,slike_min/graf_min_mu4_n8.png,slike_max/graf_max_mu4_n8.png,G?`@f{,GCR`r_
9,4,129,372,slike_min/graf_min_mu4_n9.png,slike_max/graf_max_mu4_n9.png,H?`@?b~,HCOf@pS
10,4,147,475,slike_min/graf_min_mu4_n10.png,slike_max/graf_max_mu4_n10.png,I?AA@?O~w,I?`@eCkF?
11,3,135,344,slike_min/graf_min_mu3_n11.png,slike_max/graf_max_mu3_n11.png,J??CA?_~w_?,J?HOHAPWCS?
12,3,153,416,slike_min/graf_min_mu3_n12.png,slike_max/graf_max_mu3_n12.png,K??CA?_~w_@?,KM?CC@GH?A`o
13,3,172,494,slike_min/graf_min_mu3_n13.png,slike_max/graf_max_mu3_n13.png,L??CA?_~w_@?@?,L?O??IECPSCAs?
14,3,192,580,slike_min/graf_min_mu3_n14.png,slike_max/graf_max_mu3_n14.png,M??CA?_~w_@?@??A?,Mp?OGCHA?OO@OOCC?
15,3,213,672,slike_min/graf_min_mu3_n15.png,slike_max/graf_max_mu3_n15.png,N??CA?_~w_@?@??A??_,N@@?d?GO_GOCA_?I?g?
16,3,235,770,slike_min/graf_min_mu3_n16.png,slike_max/graf_max_mu3_n16.png,O??CA?_~w_@?@??A??_?C,OOCOO?A??Ag?OAACC_cB?
17,3,258,876,slike_min/graf_min_mu3_n17.png,slike_max/graf_max_mu3_n17.png,P??CA?_~w_@?@??A??_?C??O,P@?EAO???G__A@?WO_?c?GK?
