n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max,graph6_min,graph6_max
4,2,23,23,slike_min/graf_min_mu2_n4.png,slike_max/graf_max_mu2_n4.png,C^,C^
5,2,33,38,slike_min/graf_min_mu2_n5.png,slike_max/graf_max_mu2_n5.png,DQ{,DFw
6,2,43,56,slike_min/graf_min_mu2_n6.png,slike_max/graf_max_mu2_n6.png,ECRw,ECxo
7,2,54,78,slike_min/graf_min_mu2_n7.png,slike_max/graf_max_mu2_n7.png,F?`Fw,FCR`o
8,2,66,104,slike_min/graf_min_mu2_n8.png,slike_max/graf_max_mu2_n8.png,G?AAF{,GCOf?w
9,2,79,133,slike_min/graf_min_mu2_n9.png,slike_max/graf_max_mu2_n9.png,H??CAB~,H?`@f?[
4,3,34,34,slike_min/graf_min_mu3_n4.png,slike_max/graf_max_mu3_n4.png,C~,C~
5,3,51,57,slike_min/graf_min_mu3_n5.png,slike_max/graf_max_mu3_n5.png,DF{,D]w
6,3,67,88,slike_min/graf_min_mu3_n6.png,slike_max/graf_max_mu3_n6.png,ECZw,EEz_
7,3,73,125,slike_min/graf_min_mu3_n7.png,slike_max/graf_max_mu3_n7.png,FCOfw,FCpv?
8,3,87,170,slike_min/graf_min_mu3_n8.png,slike_max/graf_max_mu3_n8.png,G?`@F{,G?q`qg
9,3,102,221,slike_min/graf_min_mu3_n9.png,slike_max/graf_max_mu3_n9.png,H?AA@B~,H?BDbO[
5,4,78,83,slike_min/graf_min_mu4_n5.png,slike_max/graf_max_mu4_n5.png,DV{,D]{
6,4,99,141,slike_min/graf_min_mu4_n6.png,slike_max/graf_max_mu4_n6.png,E?~w,EFz_
7,4,123,204,slike_min/graf_min_mu4_n7.png,slike_max/graf_max_mu4_n7.png,F?`vw,FCxv?
8,4,127,281,slike_min/graf_min_mu4_n8.png,slike_max/graf_max_mu4_n8.png,G?`@f{,GCR`r_
9,4,129,372,slike_min/graf_min_mu4_n9.png,slike_max/graf_max_mu4_n9.png,H?`@?b~,HCOf@pS
5,5,116,116,slike_min/graf_min_mu5_n5.png,slike_max/graf_max_mu5_n5.png,D^{,D^{
6,5,154,196,slike_min/graf_min_mu5_n6.png,slike_max/graf_max_mu5_n6.png,EC~w,EFzo
7,5,173,306,slike_min/graf_min_mu5_n7.png,slike_max/graf_max_mu5_n7.png,F?B~w,FCxv_
8,5,186,460,slike_min/graf_min_mu5_n8.png,slike_max/graf_max_mu5_n8.png,GCOcf{,GCrb`o
9,5,206,615,slike_min/graf_min_mu5_n9.png,slike_max/graf_max_mu5_n9.png,H?AB?r~,HCQf@pS
5,6,165,165,slike_min/graf_min_mu6_n5.png,slike_max/graf_max_mu6_n5.png,D~{,D~{
6,6,231,279,slike_min/graf_min_mu6_n6.png,slike_max/graf_max_mu6_n6.png,ETnw,E]yw
7,6,268,445,slike_min/graf_min_mu6_n7.png,slike_max/graf_max_mu6_n7.png,F?b~w,F?~v_
8,6,279,667,slike_min/graf_min_mu6_n8.png,slike_max/graf_max_mu6_n8.png,G??F~{,G?o~f_
9,6,295,969,slike_min/graf_min_mu6_n9.png,slike_max/graf_max_mu6_n9.png,H?`CPb~,H?q`qjo
6,7,345,402,slike_min/graf_min_mu7_n6.png,slike_max/graf_max_mu7_n6.png,EF~w,E]~o
7,7,418,650,slike_min/graf_min_mu7_n7.png,slike_max/graf_max_mu7_n7.png,F?r~w,FFzf_
8,7,426,986,slike_min/graf_min_mu7_n8.png,slike_max/graf_max_mu7_n8.png,G?AF~{,G?zVf_
9,7,420,1434,slike_min/graf_min_mu7_n9.png,slike_max/graf_max_mu7_n9.png,HCOcaR~,HCRbdO{
6,8,508,535,slike_min/graf_min_mu8_n6.png,slike_max/graf_max_mu8_n6.png,EV~w,E]~w
7,8,623,939,slike_min/graf_min_mu8_n7.png,slike_max/graf_max_mu8_n7.png,F?z~w,FFzvO
8,8,653,1478,slike_min/graf_min_mu8_n8.png,slike_max/graf_max_mu8_n8.png,G?`F~{,G?zvf_
9,8,634,2135,slike_min/graf_min_mu8_n9.png,slike_max/graf_max_mu8_n9.png,H??CF~~,H?o~Fbo
