n,µ(G),min p_n(G),max p_n(G),graph6_min,graph6_max
3,0,6.0,6.0,BW,BW
3,1,9.0,9.0,Bw,Bw
4,0,10.0,10.0,CF,CF
4,1,15.0,16.0,CV,C]
4,2,23.0,23.0,C^,C^
4,3,34.0,34.0,C~,C~
5,0,15.0,15.0,D?{,D?{
5,1,22.0,25.0,DC{,DUW
5,2,33.0,38.0,DQ{,DFw
5,3,51.0,57.0,DF{,D]w
5,4,78.0,83.0,DV{,D]{
5,5,116.0,116.0,D^{,D^{
5,6,165.0,165.0,D~{,D~{
6,0,21.0,21.0,E?Bw,E?Bw
6,1,30.0,36.0,E?bw,EEh_
6,2,43.0,56.0,ECRw,ECxo
6,3,67.0,88.0,ECZw,EEz_
6,4,99.0,141.0,E?~w,EFz_
6,5,154.0,196.0,EC~w,EFzo
6,6,231.0,279.0,ETnw,E]yw
6,7,345.0,402.0,EF~w,E]~o
6,8,508.0,535.0,EV~w,E]~w
6,9,720.0,720.0,E^~w,E^~w
6,10,981.0,981.0,E~~w,E~~w
7,0,28.0,28.0,F??Fw,F??Fw
7,1,39.0,49.0,F?AFw,FCp`_
7,2,54.0,78.0,F?`Fw,FCR`o
7,3,73.0,125.0,FCOfw,FCpv?
7,4,123.0,204.0,F?`vw,FCxv?
7,5,173.0,306.0,F?B~w,FCxv_
7,6,268.0,445.0,F?b~w,F?~v_
7,7,418.0,650.0,F?r~w,FFzf_
7,8,623.0,939.0,F?z~w,FFzvO
7,9,883.0,1267.0,F?~~w,FFzvo
7,10,1308.0,1712.0,FTm~w,FU~vo
7,11,1895.0,2342.0,FTn~w,F]~vo
7,12,2743.0,3112.0,FF~~w,F]~vw
7,13,3852.0,4015.0,FV~~w,F]~~w
7,14,5222.0,5222.0,F^~~w,F^~~w
7,15,6853.0,6853.0,F~~~w,F~~~w
8,0,36.0,36.0,G??F{?,G??FwC
8,1,49.0,64.0,G?AFy?,GCP_t?
8,2,66.0,104.0,G?`Fx?,G_MaS_
8,3,87.0,169.0,GCOf[_,GCXtE?
8,4,127.0,281.0,G@`FyC,GCOzdO
8,5,207.0,427.0,G?Bz{G,GCpvB_
8,6,279.0,667.0,G?B~wK,GSrB`w
8,7,426.0,986.0,G@B~wK,GEzd?{
8,8,741.0,1433.0,GyxNQ_,Gim]`K
8,9,1120.0,2086.0,GavyxG,GoT~do
8,10,1636.0,2965.0,GTm~y?,GFfnVO
8,11,2210.0,4022.0,GVmV{c,GyQ|tw
8,12,3039.0,5436.0,Gsb~{[,Gy]tu[
8,13,4571.0,7420.0,GzZzjg,Gjm}nS
8,14,6658.0,9677.0,G~n~{?,Grfz^s
8,15,8811.0,12548.0,G~~~{?,Gj~^lw
8,16,12399.0,16475.0,G~~~}?,Gz~vk{
8,17,17618.0,21680.0,G~~~~?,G~zZ|{
8,18,24468.0,27099.0,G~~~~_,G~z^|{
8,19,32949.0,34058.0,G~~~~o,G~z^~{
8,20,43061.0,43061.0,G~~~~w,G~z~~{
8,21,54804,54804.0,G~~~~{,G~~~~{
