n,µ(G),min_pn,max_pn,count
3,0,6,6,1
3,1,9,9,1
4,0,10,10,2
4,1,15,16,2
4,2,23,23,1
4,3,34,34,1
5,0,15,15,3
5,1,22,25,5
5,2,33,38,5
5,3,51,57,4
5,4,78,83,2
5,5,116,116,1
5,6,165,165,1
6,0,21,21,6
6,1,30,36,13
6,2,43,56,19
6,3,67,88,22
6,4,99,141,20
6,5,154,196,14
6,6,231,279,9
6,7,345,402,5
6,8,508,535,2
6,9,720,720,1
6,10,981,981,1
7,0,28,28,11
7,1,39,49,33
7,2,54,78,67
7,3,73,125,107
7,4,123,204,132
7,5,173,306,138
7,6,268,445,126
7,7,418,650,95
7,8,623,939,64
7,9,883,1267,40
7,10,1308,1712,21
7,11,1895,2342,10
7,12,2743,3112,5
7,13,3852,4015,2
7,14,5222,5222,1
7,15,6853,6853,1
8,0,36,36,23
8,1,49,64,89
8,2,66,104,236
8,3,87,170,486
8,4,127,281,814
8,5,186,460,1169
8,6,279,667,1454
8,7,426,986,1579
8,8,653,1478,1515
8,9,1005,2232,1290
8,10,1437,2965,970
8,11,1964,4022,658
8,12,3039,5436,400
8,13,4571,7468,220
8,14,6560,9677,114
8,15,8811,12558,56
8,16,12399,16475,24
8,17,17618,21680,11
8,18,24468,27099,5
8,19,32949,34058,2
8,20,43061,43061,1
8,21,54804,54804,1
