n,µ(G),min p_n(G),max p_n(G),slika_min,slika_max
3,0,6,6,slike_min/graf_min_n3_mu0.png,slike_max/graf_max_n3_mu0.png
3,1,9,9,slike_min/graf_min_n3_mu1.png,slike_max/graf_max_n3_mu1.png
4,0,10,10,slike_min/graf_min_n4_mu0.png,slike_max/graf_max_n4_mu0.png
4,1,15,16,slike_min/graf_min_n4_mu1.png,slike_max/graf_max_n4_mu1.png
4,2,23,23,slike_min/graf_min_n4_mu2.png,slike_max/graf_max_n4_mu2.png
4,3,34,34,slike_min/graf_min_n4_mu3.png,slike_max/graf_max_n4_mu3.png
5,0,15,15,slike_min/graf_min_n5_mu0.png,slike_max/graf_max_n5_mu0.png
5,1,22,25,slike_min/graf_min_n5_mu1.png,slike_max/graf_max_n5_mu1.png
5,2,33,38,slike_min/graf_min_n5_mu2.png,slike_max/graf_max_n5_mu2.png
5,3,51,57,slike_min/graf_min_n5_mu3.png,slike_max/graf_max_n5_mu3.png
5,4,78,83,slike_min/graf_min_n5_mu4.png,slike_max/graf_max_n5_mu4.png
5,5,116,116,slike_min/graf_min_n5_mu5.png,slike_max/graf_max_n5_mu5.png
5,6,165,165,slike_min/graf_min_n5_mu6.png,slike_max/graf_max_n5_mu6.png
6,0,21,21,slike_min/graf_min_n6_mu0.png,slike_max/graf_max_n6_mu0.png
6,1,30,36,slike_min/graf_min_n6_mu1.png,slike_max/graf_max_n6_mu1.png
6,2,43,56,slike_min/graf_min_n6_mu2.png,slike_max/graf_max_n6_mu2.png
6,3,67,88,slike_min/graf_min_n6_mu3.png,slike_max/graf_max_n6_mu3.png
6,4,99,141,slike_min/graf_min_n6_mu4.png,slike_max/graf_max_n6_mu4.png
6,5,154,196,slike_min/graf_min_n6_mu5.png,slike_max/graf_max_n6_mu5.png
6,6,231,279,slike_min/graf_min_n6_mu6.png,slike_max/graf_max_n6_mu6.png
6,7,345,402,slike_min/graf_min_n6_mu7.png,slike_max/graf_max_n6_mu7.png
6,8,508,535,slike_min/graf_min_n6_mu8.png,slike_max/graf_max_n6_mu8.png
6,9,720,720,slike_min/graf_min_n6_mu9.png,slike_max/graf_max_n6_mu9.png
6,10,981,981,slike_min/graf_min_n6_mu10.png,slike_max/graf_max_n6_mu10.png
7,0,28,28,slike_min/graf_min_n7_mu0.png,slike_max/graf_max_n7_mu0.png
7,1,39,49,slike_min/graf_min_n7_mu1.png,slike_max/graf_max_n7_mu1.png
7,2,54,78,slike_min/graf_min_n7_mu2.png,slike_max/graf_max_n7_mu2.png
7,3,73,125,slike_min/graf_min_n7_mu3.png,slike_max/graf_max_n7_mu3.png
7,4,123,204,slike_min/graf_min_n7_mu4.png,slike_max/graf_max_n7_mu4.png
7,5,173,306,slike_min/graf_min_n7_mu5.png,slike_max/graf_max_n7_mu5.png
7,6,268,445,slike_min/graf_min_n7_mu6.png,slike_max/graf_max_n7_mu6.png
7,7,418,650,slike_min/graf_min_n7_mu7.png,slike_max/graf_max_n7_mu7.png
7,8,623,939,slike_min/graf_min_n7_mu8.png,slike_max/graf_max_n7_mu8.png
7,9,883,1267,slike_min/graf_min_n7_mu9.png,slike_max/graf_max_n7_mu9.png
7,10,1308,1712,slike_min/graf_min_n7_mu10.png,slike_max/graf_max_n7_mu10.png
7,11,1895,2342,slike_min/graf_min_n7_mu11.png,slike_max/graf_max_n7_mu11.png
7,12,2743,3112,slike_min/graf_min_n7_mu12.png,slike_max/graf_max_n7_mu12.png
7,13,3852,4015,slike_min/graf_min_n7_mu13.png,slike_max/graf_max_n7_mu13.png
7,14,5222,5222,slike_min/graf_min_n7_mu14.png,slike_max/graf_max_n7_mu14.png
7,15,6853,6853,slike_min/graf_min_n7_mu15.png,slike_max/graf_max_n7_mu15.png
8,0,36,36,slike_min/graf_min_n8_mu0.png,slike_max/graf_max_n8_mu0.png
8,1,49,64,slike_min/graf_min_n8_mu1.png,slike_max/graf_max_n8_mu1.png
8,2,66,104,slike_min/graf_min_n8_mu2.png,slike_max/graf_max_n8_mu2.png
8,3,87,170,slike_min/graf_min_n8_mu3.png,slike_max/graf_max_n8_mu3.png
8,4,127,281,slike_min/graf_min_n8_mu4.png,slike_max/graf_max_n8_mu4.png
8,5,186,460,slike_min/graf_min_n8_mu5.png,slike_max/graf_max_n8_mu5.png
8,6,279,667,slike_min/graf_min_n8_mu6.png,slike_max/graf_max_n8_mu6.png
8,7,426,986,slike_min/graf_min_n8_mu7.png,slike_max/graf_max_n8_mu7.png
